month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall
2009-08,35.5,12,177.8
2009-09,63.0,13,109.6
2009-10,38.4,15,133.4
2009-11,61.4,23,281.8
2009-12,42.6,18,189.8
2010-01,24.5,10,69.5
2010-02,2.9,4,6.3
2010-03,57.6,11,238.0
2010-04,40.0,18,158.5
2010-05,90.5,17,157.5
2010-06,43.0,19,240.5
2010-07,121.1,18,298.5
2010-08,60.2,16,158.4
2010-09,28.0,13,121.5
2010-10,58.1,17,166.2
2010-11,41.6,21,278.8
2010-12,85.8,14,181.4
2011-01,216.2,17,513.2
2011-02,17.4,8,23.0
2011-03,54.0,22,256.6
2011-04,61.8,12,217.8
2011-05,34.2,15,127.0
2011-06,82.0,15,213.0
2011-07,30.0,7,76.6
2011-08,30.2,13,81.4
2011-09,40.4,14,136.4
2011-10,54.0,20,216.8
2011-11,78.6,24,377.8
2011-12,87.4,21,284.6
2012-01,26.2,16,106.1
2012-02,38.4,11,83.6
2012-03,92.3,21,313.4
2012-04,48.4,20,260.6
2012-05,79.2,19,292.0
2012-06,38.2,8,53.0
2012-07,35.4,17,130.8
2012-08,31.0,12,119.0
2012-09,35.8,10,107.6
2012-10,22.6,13,122.2
2012-11,49.2,22,208.2
2012-12,78.8,22,363.4
2013-01,73.0,15,262.0
2013-02,95.2,22,395.2
2013-03,29.6,10,85.8
2013-04,41.6,19,159.4
2013-05,46.2,17,211.4
2013-06,22.4,12,111.4
2013-07,37.4,15,174.6
2013-08,43.2,15,165.6
2013-09,52.6,19,257.0
2013-10,139.8,19,285.4
2013-11,44.0,22,292.4
2013-12,119.8,21,348.2
2014-01,31.2,5,75.4
2014-02,0.2,1,0.2
2014-03,52.6,6,66.0
2014-04,28.8,17,110.0
2014-05,22.2,18,125.8
2014-06,18.8,11,71.4
2014-07,29.0,15,148.6
2014-08,44.2,20,241.0
2014-09,34.6,9,83.6
2014-10,32.8,10,120.0
2014-11,64.4,23,250.8
2014-12,48.2,17,245.6
2015-01,33.6,6,79.6
2015-02,10.8,6,18.8
2015-03,46.0,5,84.4
2015-04,18.8,13,73.2
2015-05,22.2,12,89.0
2015-06,28.4,10,95.8
2015-07,45.8,13,116.8
2015-08,63.2,11,185.8
2015-09,18.4,8,61.6
2015-10,28.6,9,87.2
2015-11,25.8,13,72.6
2015-12,40.4,19,302.3
2016-01,39.6,15,126.6
2016-02,71.8,10,186.0
2016-03,2.4,6,6.2
2016-04,18.2,14,89.8
2016-05,54.8,12,193.8
2016-06,67.8,13,162.8
2016-07,59.4,20,168.6
2016-08,30.6,15,139.2
2016-09,34.0,15,118.9
2016-10,75.4,16,181.0
2016-11,65.6,20,290.2
2016-12,73.0,23,292.6
2017-01,60.6,21,197.6
2017-02,31.0,15,158.4
2017-03,30.2,11,136.2
2017-04,42.8,21,208.6
2017-05,44.8,15,190.0
2017-06,29.6,10,106.0
2017-07,30.2,9,79.6
2017-08,29.4,18,84.2
2017-09,20.2,19,124.4
2017-10,31.2,18,120.8
2017-11,45.2,24,268.6
2017-12,69.8,23,371.2
2018-01,45.8,25,287.0
2018-02,13.0,5,14.8
2018-03,15.2,10,44.6
2018-04,14.0,14,61.2
2018-05,47.4,19,132.2
2018-06,46.8,17,182.6
2018-07,32.4,10,143.2
2018-08,34.6,11,121.6
2018-09,45.0,13,144.4
2018-10,60.6,18,234.4
2018-11,20.6,27,169.6
2018-12,43.8,19,172.6
2019-01,38.2,9,63.6
2019-02,13.4,5,31.6
2019-03,29.0,6,72.2
2019-04,52.4,9,174.8
2019-05,17.2,13,69.0
2019-06,37.6,16,173.8
2019-07,6.6,8,12.2
2019-08,3.8,6,11.8
2019-09,16.4,4,22.8
2019-10,92.2,15,176.8
2019-11,73.4,15,137.4
2019-12,74.2,14,421.5
2020-01,38.0,6,88.4
2020-02,23.8,8,65.0
2020-03,47.4,8,108.8
2020-04,51.8,12,188.0
2020-05,53.8,16,255.6
2020-06,41.0,21,233.8
